,SIZE,SEXA,SSJB1WK,SPAGEX,SPLVTG,PPLVTG,MMLVTG,CCNUMTTL,CC01SEX,CC01AGE,SZFFOTHR,SZFFONLY,SZFFTTL,FFHEAD,SZFFOUT,INCSELF,INCSP,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,XSSNBROY,XSSNSISY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,SSLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
40,3,2,3,74,1,3,3,2,1,43,0,1,2,2,0,0,1,0,1,1,1,3,2,2,2,3,2,2,0,2,2,2,0,1,1
41,4,1,3,68,1,3,2,2,1,44,0,1,2,1,1,1,1,0,1,1,1,4,1,1,3,1,3,2,6,4,2,2,2,1,2
42,3,1,3,66,1,3,3,2,2,41,0,1,2,1,0,1,1,0,1,1,1,3,0,1,0,0,3,2,2,1,2,2,1,1,2
43,4,1,3,65,1,3,3,1,2,0,0,1,2,1,0,1,1,0,1,1,1,4,4,0,0,0,2,0,0,4,3,3,1,2,2
44,4,1,3,64,1,3,3,3,1,39,0,2,3,1,0,1,1,0,1,1,1,4,1,2,0,0,3,2,2,2,3,2,1,1,2
45,4,1,3,64,1,3,1,2,2,45,0,2,3,1,0,1,1,0,1,1,1,3,1,0,0,3,4,2,5,4,2,2,2,1,2
46,1,2,3,68,1,3,3,2,1,40,0,1,2,2,0,1,1,0,1,1,1,2,1,1,0,0,1,2,4,1,2,2,0,1,2
47,3,2,1,67,1,3,3,3,2,43,0,1,2,2,0,1,1,0,1,1,1,2,0,1,0,2,3,2,2,4,2,2,1,1,2
48,4,1,3,62,1,3,3,1,1,37,0,1,2,1,0,1,1,0,1,1,1,4,0,2,0,1,3,2,2,4,3,2,1,1,2
49,3,1,1,62,1,3,3,2,2,40,0,1,2,1,0,1,1,0,1,1,1,3,1,0,0,0,2,2,5,1,2,2,1,1,2
50,2,2,2,64,1,3,3,2,1,38,0,1,2,2,0,0,1,0,1,1,1,2,3,0,0,0,3,2,4,1,2,2,1,1,2
51,3,2,1,72,1,3,2,3,1,45,0,1,2,2,0,0,1,0,1,1,1,5,0,2,2,2,3,2,6,2,2,2,2,1,2
52,2,1,1,52,1,3,3,5,2,45,0,1,2,1,0,0,1,0,1,1,1,3,0,1,2,0,2,2,2,2,2,2,1,1,1
53,1,1,0,0,0,3,1,0,0,0,1,2,3,4,0,1,1,0,1,1,1,3,0,2,0,0,4,2,0,1,2,0,1,1,2
54,3,2,3,69,1,3,3,0,0,0,1,2,3,2,0,1,1,0,1,1,1,0,3,0,1,1,2,2,2,1,2,2,0,1,2
55,2,1,3,68,1,3,3,2,1,43,0,2,3,1,0,1,1,0,1,1,1,3,4,0,1,0,3,2,2,4,2,2,1,1,1
56,4,1,1,64,1,3,3,2,1,40,0,1,2,1,0,1,1,0,1,1,1,3,1,0,2,1,2,2,6,1,2,2,1,1,1
57,3,2,0,0,0,3,3,1,1,38,0,0,1,1,0,1,1,0,1,1,1,3,0,2,0,0,2,2,5,1,3,0,1,1,2
58,1,1,1,62,1,3,3,0,0,0,0,1,2,1,0,0,1,0,1,1,1,4,2,0,0,0,4,0,0,4,2,2,0,1,2
59,4,2,3,66,1,3,3,1,1,42,0,1,2,2,0,1,1,0,1,1,1,2,1,0,0,0,3,2,6,4,2,2,1,1,1
60,1,2,3,66,1,3,3,2,2,38,3,5,6,2,0,1,1,0,1,1,1,0,0,1,0,3,2,2,0,1,2,2,0,1,2
61,1,1,1,64,1,3,3,2,2,36,0,3,4,1,0,0,1,1,1,1,1,3,1,0,0,0,1,2,2,4,3,2,1,1,2
62,4,1,1,61,1,3,1,2,1,32,0,2,3,1,0,0,1,1,1,1,1,5,1,0,1,0,3,2,2,4,2,2,0,1,2
63,1,1,3,61,1,2,3,2,1,36,0,2,3,1,0,1,1,0,1,1,1,4,0,2,2,1,2,2,5,1,3,2,2,1,2
64,1,2,3,79,1,3,2,4,2,36,0,4,5,2,0,1,1,0,1,1,1,1,0,0,1,1,2,2,0,2,2,2,0,1,2
65,3,2,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,0,1,1,1,3,1,0,0,0,3,2,2,4,2,0,1,1,2
66,1,1,3,62,1,3,3,2,1,37,0,0,0,4,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
67,2,2,1,69,1,3,3,2,1,40,0,2,3,2,0,1,1,0,1,1,1,2,1,1,1,1,4,2,2,4,2,2,1,1,1
68,1,2,1,66,1,3,2,2,1,37,1,2,3,2,1,1,1,0,1,1,1,1,1,1,3,0,4,2,1,4,2,3,0,1,2
69,1,1,3,59,1,3,3,2,1,39,0,1,2,1,0,1,1,0,1,1,1,3,1,2,0,0,2,2,0,1,2,2,0,1,2
70,4,1,1,59,1,3,3,2,1,33,0,1,2,1,0,0,1,1,1,1,1,0,3,0,1,0,3,2,0,1,3,2,0,1,2
71,1,2,1,61,1,3,3,0,0,0,0,1,2,2,0,0,1,0,1,1,1,3,1,1,1,0,2,2,5,2,2,2,1,1,2
72,3,1,3,62,1,3,3,2,2,34,0,1,2,1,0,0,1,1,1,1,1,5,2,0,0,2,2,2,1,1,3,3,1,1,2
73,1,2,1,61,1,3,3,2,2,35,0,1,2,2,0,1,1,0,1,1,1,2,0,0,0,0,1,2,1,4,2,2,3,1,2
74,1,2,1,62,1,3,3,3,1,35,0,2,3,2,0,1,1,1,1,1,1,1,7,0,1,1,2,0,0,1,2,2,0,1,2
75,3,2,0,0,0,2,3,2,2,39,3,4,5,1,0,0,1,1,1,1,1,0,2,1,0,0,4,2,2,4,2,0,0,1,1
76,2,1,3,58,1,2,2,1,2,31,0,1,2,1,0,1,1,0,1,1,1,3,0,2,0,0,2,2,3,1,3,3,2,1,2
77,1,1,3,62,1,3,3,2,2,34,0,2,3,1,0,0,1,1,1,1,1,3,4,0,0,0,2,0,0,4,2,2,1,1,2
78,1,1,3,57,1,3,3,5,2,35,0,4,5,1,0,0,1,0,1,1,1,4,2,3,1,1,3,2,0,1,2,2,1,1,2
79,1,1,3,60,1,3,2,2,2,36,0,1,2,1,0,1,1,1,1,1,1,0,0,1,0,0,1,2,2,4,2,2,2,1,2
80,4,2,1,62,1,3,3,2,2,39,0,1,2,2,0,1,1,1,1,1,1,1,2,0,2,0,1,0,0,1,2,2,0,1,2
81,4,2,0,0,0,3,1,0,0,0,0,1,2,1,0,0,1,0,1,1,1,3,0,1,0,0,3,2,1,3,3,0,1,1,2
82,2,2,3,67,1,2,3,2,2,39,0,1,2,2,0,1,1,0,1,1,1,2,0,1,0,0,2,2,4,1,2,2,2,1,2
83,3,1,3,61,1,3,2,1,1,29,0,2,3,1,0,1,1,0,1,1,1,3,1,0,0,2,3,2,2,1,3,2,0,1,2
84,2,1,0,0,0,3,1,4,1,32,0,2,3,1,0,0,1,0,1,1,0,4,0,1,1,0,2,2,6,1,3,3,2,1,2
85,1,2,1,62,1,3,1,0,0,0,0,2,3,2,0,0,1,1,1,1,1,4,0,0,0,1,1,2,2,3,2,2,1,1,2
86,3,1,1,58,1,3,1,2,2,36,0,2,3,1,0,0,1,0,1,1,1,5,0,0,0,1,3,2,2,2,3,3,2,1,2
87,2,2,1,62,1,3,2,2,1,36,0,1,2,2,0,1,1,1,1,1,1,2,0,2,0,0,4,2,3,3,2,2,2,1,2
88,1,2,3,81,1,3,3,2,1,36,0,2,3,2,0,1,1,1,1,1,1,1,2,0,1,1,1,2,0,4,2,1,0,1,2
89,3,1,1,55,1,2,2,3,1,35,0,2,3,1,0,0,1,1,1,1,1,5,0,1,0,0,2,2,6,1,3,2,2,1,2
90,3,1,1,60,1,3,2,2,2,34,0,1,2,1,0,0,1,0,1,1,1,4,2,1,2,0,2,2,6,2,2,2,1,1,2
91,2,2,2,60,1,3,3,3,2,38,0,1,2,2,0,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,2,2,1,1,2
