,MARC
798,4
799,4
800,3
801,3
802,3
803,1
804,3
805,3
806,1
807,3
808,1
809,1
810,4
811,1
812,1
813,3
814,1
815,3
816,3
817,1
818,1
819,1
820,2
821,1
822,1
823,3
824,1
825,1
826,1
827,1
828,1
829,3
830,1
831,4
832,2
833,1
834,1
835,2
836,2
837,4
838,3
839,1
840,2
841,1
842,1
843,3
844,1
845,2
846,4
847,1
848,2
849,3
850,4
851,1
852,1
853,1
854,3
855,1
856,4
857,1
858,1
859,1
860,1
861,1
862,4
863,1
864,3
865,1
866,1
867,1
868,4
869,4
870,1
871,1
872,1
873,2
874,2
875,1
876,4
877,1
878,2
879,1
880,4
881,2
882,1
883,1
884,1
885,1
886,4
887,4
888,2
889,3
890,1
891,2
892,2
893,4
894,1
895,2
896,2
897,4
898,1
899,4
900,4
901,4
902,4
903,2
904,2
905,1
906,4
907,1
908,1
909,4
910,4
911,1
912,4
913,4
914,1
915,4
916,4
917,1
918,1
919,1
920,1
921,1
922,1
923,4
924,2
925,1
926,4
927,4
928,4
929,4
930,4
931,2
932,1
933,1
934,1
935,1
936,4
937,3
938,4
939,1
940,4
941,1
942,1
943,4
944,1
945,4
946,1
947,4
948,1
949,1
950,4
951,4
952,1
953,2
954,1
955,2
956,1
957,4
958,4
959,1
960,1
961,4
962,4
963,1
964,4
965,1
966,1
967,1
968,2
969,4
970,1
971,4
972,4
973,1
974,4
975,1
976,4
977,4
978,4
979,1
980,4
981,4
982,1
983,1
984,2
985,1
986,1
987,4
988,4
989,4
990,4
991,4
992,4
993,1
994,1
995,4
996,1
997,1
998,4
999,6
1000,4
1001,1
1002,4
1003,1
1004,1
1005,4
1006,4
1007,4
1008,4
1009,4
1010,1
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,4
1018,4
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,3
1044,3
1045,3
1046,1
1047,3
1048,3
1049,1
1050,1
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,1
1058,3
1059,3
1060,1
1061,1
1062,1
1063,1
1064,1
1065,3
1066,3
1067,3
1068,1
1069,2
1070,2
1071,4
1072,1
1073,4
1074,4
1075,3
1076,3
1077,3
1078,1
1079,1
1080,1
1081,1
1082,3
1083,1
1084,1
1085,1
1086,1
1087,4
1088,1
1089,1
1090,4
1091,1
1092,1
1093,3
1094,1
1095,1
1096,1
1097,2
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,2
1106,4
1107,2
1108,1
1109,4
1110,3
1111,1
1112,4
1113,1
1114,4
1115,4
1116,1
1117,1
1118,1
1119,1
1120,2
1121,1
1122,1
1123,1
1124,4
1125,3
1126,2
1127,1
1128,4
1129,1
1130,1
1131,1
1132,2
1133,1
1134,4
1135,1
1136,1
1137,1
1138,2
1139,1
1140,1
1141,1
1142,4
1143,1
1144,1
1145,1
1146,1
1147,4
1148,1
1149,1
1150,4
1151,1
1152,1
1153,1
1154,1
1155,1
1156,2
1157,1
1158,1
1159,4
1160,1
1161,1
1162,2
1163,4
1164,4
1165,1
1166,4
1167,1
1168,2
1169,1
1170,1
1171,4
1172,4
1173,4
1174,4
1175,4
1176,1
1177,4
1178,4
1179,4
1180,4
1181,4
1182,4
1183,4
1184,4
1185,4
1186,4
1187,4
1188,4
1189,4
1190,4
1191,4
1192,4
1193,1
1194,4
1195,4
1196,4
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,4
1205,3
1206,3
1207,3
1208,3
1209,3
1210,1
1211,4
1212,1
1213,1
1214,1
1215,3
1216,3
1217,3
1218,3
1219,1
1220,1
1221,3
1222,2
1223,1
1224,4
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,4
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,2
1245,1
1246,1
1247,1
1248,4
1249,1
1250,1
1251,4
1252,1
1253,4
1254,4
1255,4
1256,1
1257,4
1258,1
1259,1
1260,2
1261,4
1262,4
1263,4
1264,4
1265,4
1266,1
1267,4
1268,4
1269,4
1270,4
1271,4
1272,2
1273,3
1274,1
1275,3
1276,5
1277,1
1278,1
1279,1
1280,1
1281,3
1282,1
1283,4
1284,1
1285,2
1286,1
1287,3
1288,4
1289,1
1290,1
1291,2
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,4
1301,1
1302,4
1303,4
1304,1
1305,3
1306,1
1307,3
1308,1
1309,1
1310,1
1311,2
1312,4
1313,2
1314,1
1315,4
1316,1
1317,1
1318,4
1319,4
1320,4
1321,4
1322,4
1323,4
1324,4
1325,3
1326,3
1327,3
1328,3
1329,3
1330,1
1331,2
1332,1
1333,1
1334,1
1335,1
1336,1
1337,4
1338,2
1339,4
1340,4
1341,4
1342,2
1343,1
1344,1
1345,3
1346,3
1347,3
1348,1
1349,3
1350,3
1351,3
1352,1
1353,1
1354,2
1355,1
1356,1
1357,1
1358,1
1359,1
1360,4
1361,4
1362,4
1363,4
1364,4
1365,4
1366,3
1367,1
1368,3
1369,3
1370,3
1371,3
1372,1
1373,1
1374,3
1375,1
1376,3
1377,1
1378,3
1379,3
1380,3
1381,2
1382,1
1383,1
1384,1
1385,1
1386,3
1387,1
1388,1
1389,1
1390,4
1391,1
1392,4
1393,1
1394,1
1395,1
1396,1
1397,1
1398,4
1399,4
1400,1
1401,1
1402,4
1403,4
1404,1
1405,4
1406,4
1407,4
1408,1
1409,4
1410,4
1411,4
1412,4
1413,4
1414,4
1415,4
1416,3
1417,3
1418,3
1419,1
1420,3
1421,1
1422,1
1423,4
1424,1
1425,1
1426,1
1427,1
1428,1
1429,2
1430,3
1431,1
1432,1
1433,1
1434,2
1435,1
1436,3
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,4
1446,1
1447,1
1448,2
1449,1
1450,1
1451,1
1452,4
1453,1
1454,4
1455,1
1456,4
1457,1
1458,4
1459,4
1460,4
1461,4
1462,1
1463,3
1464,3
1465,3
1466,1
1467,3
1468,3
1469,3
1470,1
1471,3
1472,3
1473,3
1474,3
1475,1
1476,1
1477,1
1478,1
1479,3
1480,1
1481,6
1482,3
1483,1
1484,1
1485,1
1486,1
1487,3
1488,1
1489,3
1490,2
1491,1
1492,4
1493,3
1494,4
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,4
1502,4
1503,1
1504,4
1505,1
1506,1
1507,4
1508,1
1509,1
1510,2
1511,2
1512,1
1513,1
1514,3
1515,1
1516,1
1517,2
1518,4
1519,2
1520,4
1521,4
1522,4
1523,1
1524,4
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,4
1532,1
1533,1
1534,4
1535,4
1536,4
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,4
1544,1
1545,1
1546,2
1547,1
1548,4
1549,1
1550,4
1551,4
1552,1
1553,4
1554,4
1555,4
1556,4
1557,4
1558,4
1559,1
1560,4
1561,4
1562,4
1563,4
1564,3
1565,3
1566,3
1567,2
1568,3
1569,1
1570,3
1571,1
1572,3
1573,1
1574,3
1575,3
1576,4
1577,1
1578,3
1579,3
1580,3
1581,3
1582,3
1583,1
1584,1
1585,3
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,3
1596,1
1597,1
1598,1
1599,1
1600,1
1601,3
1602,1
1603,1
1604,1
1605,3
1606,2
1607,1
1608,1
1609,1
1610,1
1611,1
1612,3
1613,1
1614,1
1615,1
1616,1
1617,1
1618,4
1619,1
1620,3
1621,1
1622,1
1623,2
